Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",118.83,2.95,+2.55%,118.88,116,969400,2022-07-15
AAL,"American Airlines Gp",14.47,0.22,+1.54%,14.56,14.05,30181900,2022-07-15
AAP,"Advance Auto Parts Inc",188.71,2.7,+1.45%,190,186.27,668500,2022-07-15
AAPL,"Apple Inc",150.17,1.7,+1.15%,150.86,148.2,76259898,2022-07-15
ABBV,"Abbvie Inc",153.62,3.18,+2.11%,153.87,151.43,4872900,2022-07-15
ABC,"Amerisourcebergen Corp",142.22,2.69,+1.93%,142.28,139.89,977100,2022-07-15
ABMD,"Abiomed Inc",268.23,9.35,+3.61%,268.35,260.23,255200,2022-07-15
ABT,"Abbott Laboratories",108.82,3.11,+2.94%,108.98,107.26,4617800,2022-07-15
ACN,"Accenture Plc",271.52,2.85,+1.06%,272.85,266.86,1741100,2022-07-15
ADBE,"Adobe Systems Inc",379.86,6.9,+1.85%,384.47,376.86,2488200,2022-07-15
ADI,"Analog Devices",157.97,4.66,+3.04%,158.28,153.33,3736600,2022-07-15
ADM,"Archer Daniels Midland",72,0.3,+0.42%,72.58,71.15,2048700,2022-07-15
ADP,"Automatic Data Procs",214.13,2.93,+1.39%,215.03,212.98,1139500,2022-07-15
ADSK,"Autodesk Inc",176.21,5.25,+3.07%,177.11,172.6,1443700,2022-07-15
AEE,"Ameren Corp",87.75,0.7,+0.80%,87.88,86.36,861100,2022-07-15
AEP,"American Electric Power Company",95.22,0.95,+1.01%,95.27,93.37,2376800,2022-07-15
AES,"The Aes Corp",20.35,-0.17,-0.83%,20.49,18.9,6335400,2022-07-15
AFL,"Aflac Inc",54.31,0.86,+1.61%,54.58,53.75,2038400,2022-07-15
AIG,"American International Group",50.08,1.66,+3.43%,50.53,48.75,4393200,2022-07-15
AIZ,"Assurant Inc",166.88,-0.61000000000001,-0.36%,169.43,166.45,338800,2022-07-15
AJG,"Arthur J. Gallagher & Company",165.75,3.01,+1.85%,166.3,164.72,689400,2022-07-15
AKAM,"Akamai Technologies",88.41,1.58,+1.82%,88.44,87.37,1140700,2022-07-15
ALB,"Albemarle Corp",200.7,4.04,+2.05%,201.51,195.33,912500,2022-07-15
ALGN,"Align Technology",254.88,7.7,+3.12%,256.09,247.27,449700,2022-07-15
ALK,"Alaska Air Group",41.31,0.52,+1.27%,41.68,40.47,1286400,2022-07-15
ALL,"Allstate Corp",122.4,1.48,+1.22%,123.37,121.77,4448600,2022-07-15
ALLE,"Allegion Plc",97.01,1.41,+1.47%,97.64,96.07,388300,2022-07-15
AMAT,"Applied Materials",94.47,2.8,+3.05%,94.59,90.21,8051200,2022-07-15
AMCR,"Amcor Plc",12.48,0.09,+0.73%,12.59,12.37,6667200,2022-07-15
AMD,"Adv Micro Devices",81.11,2.51,+3.19%,81.2,77.9,76050492,2022-07-15
AME,"Ametek Inc",111.7,1.97,+1.80%,111.75,110,838800,2022-07-15
AMGN,"Amgen Inc",248.69,3.1,+1.26%,249.13,245.44,2805400,2022-07-15
AMP,"Ameriprise Financial Services",230.33,7.21,+3.23%,231.45,222.43,586000,2022-07-15
AMT,"American Tower Corp",257.2,0.69,+0.27%,260.79,255.33,1181100,2022-07-15
AMZN,"Amazon.com Inc",113.55,2.92,+2.64%,115.59,111.59,84317797,2022-07-15
ANET,"Arista Networks Inc",101.67,2.57,+2.59%,101.77,98.75,1258700,2022-07-15
ANSS,"Ansys Inc",240.79,6.39,+2.73%,241.7,237.04,459600,2022-07-15
AON,"AON Plc",271.6,3.01,+1.12%,275.12,271.01,2291700,2022-07-15
AOS,"Smith A.O. Corp",56.65,2.52,+4.66%,56.93,55.3,1185200,2022-07-15
APA,"Apa Corp",31.99,0.41,+1.30%,32.54,31.42,6938300,2022-07-15
APD,"Air Products and Chemicals",225.2,3.22,+1.45%,226.44,223.85,1444800,2022-07-15
APH,"Amphenol Corp",66.12,1.38,+2.13%,66.17,65.17,1582200,2022-07-15
APTV,"Aptiv Plc",91.47,3.89,+4.44%,91.92,88.47,1827100,2022-07-15
ARE,"Alexandria Real Estate Equities",142.81,5.4,+3.93%,142.86,139.06,844000,2022-07-15
ATO,"Atmos Energy Corp",111.9,0.98,+0.88%,112.29,110.49,1145500,2022-07-15
ATVI,"Activision Blizzard",77.39,1.15,+1.51%,77.41,76.23,5725300,2022-07-15
AVB,"Avalonbay Communities",192.79,3.65,+1.93%,193.65,190.3,563400,2022-07-15
AVGO,"Broadcom Ltd",494.46,9.82,+2.03%,494.74,486.13,1871300,2022-07-15
AVY,"Avery Dennison Corp",167.01,2.98,+1.82%,168.74,165.02,383100,2022-07-15
AWK,"American Water Works",148.57,2.03,+1.39%,148.93,145.35,766700,2022-07-15
AXP,"American Express Company",142.48,6,+4.40%,143.11,138.87,3296700,2022-07-15
AZO,Autozone,2215.03,39.69,+1.82%,2218.85,2169.87,152000,2022-07-15
BA,"Boeing Company",147.74,0.59,+0.40%,149.74,144.65,7910400,2022-07-15
BAC,"Bank of America Corp",32.25,2.12,+7.04%,32.63,30.61,77801602,2022-07-15
BALL,"Ball Corporation",66.48,-0.17,-0.26%,68.02,65.99,1828300,2022-07-15
BAX,"Baxter International Inc",64.91,1.49,+2.35%,65.18,64.03,1855100,2022-07-15
BBWI,"Bath & Body Works Inc",27.51,1.55,+5.97%,27.68,26.25,4123600,2022-07-15
BBY,"Best Buy Company",72.47,1.33,+1.87%,72.57,71.13,2477100,2022-07-15
BDX,"Becton Dickinson and Company",239.24,5.08,+2.17%,240.07,235.62,775100,2022-07-15
BEN,"Franklin Resources",24.62,0.31,+1.28%,24.9,24.16,2777200,2022-07-15
BF.B,"Brown Forman Inc Cl B",71.3,-0.26,-0.36%,72.02,71.17,951700,2022-07-15
BIIB,"Biogen Inc",217.01,2.74,+1.28%,217.36,213.75,732000,2022-07-15
BIO,"Bio-Rad Laboratories",494.04,6.09,+1.25%,496.9,483.4,166600,2022-07-15
BK,"Bank of New York Mellon Corp",43.41,2.97,+7.34%,43.75,41.19,4984900,2022-07-15
BKNG,"Booking Holdings Inc",1698.59,24.68,+1.47%,1723.31,1680.43,480900,2022-07-15
BKR,"Baker Hughes A Ge Co. Cl A",26.68,0.34,+1.29%,26.88,26.02,7010400,2022-07-15
BLK,"Blackrock Inc",600.37,11.74,+1.99%,603.8,585.51,1052900,2022-07-15
BMY,"Bristol-Myers Squibb Company",75.65,1.64,+2.22%,75.67,74.29,10933899,2022-07-15
BR,"Broadridge Financial Solutions Llc",149.32,2.53,+1.72%,149.88,147.67,465800,2022-07-15
BRK.B,"Berkshire Hathaway Cl B",278.48,4.07,+1.48%,280,276.06,4548500,2022-07-15
BRO,"Brown & Brown",59.31,1.01,+1.73%,59.65,58.99,1065300,2022-07-15
BSX,"Boston Scientific Corp",37.55,0.84,+2.29%,37.6,37.1,7124800,2022-07-15
BWA,"Borgwarner Inc",33.65,0.61,+1.85%,33.79,32.77,2099200,2022-07-15
BXP,"Boston Properties",87.39,1.82,+2.13%,87.93,86.54,1609900,2022-07-15
C,"Citigroup Inc",49.98,5.84,+13.23%,50.62,46.19,86566195,2022-07-15
CAG,"Conagra Brands Inc",33.73,0.58,+1.75%,33.88,32.85,5217900,2022-07-15
CAH,"Cardinal Health",55.21,1.16,+2.15%,55.23,54.27,2011700,2022-07-15
CARR,"Carrier Global Corp",36,0.39,+1.10%,36.25,35.56,3423900,2022-07-15
CAT,"Caterpillar Inc",173.38,3.44,+2.02%,173.38,169.2,2282100,2022-07-15
CB,"Chubb Ltd",184.19,0.87,+0.47%,186.49,183.42,2722200,2022-07-15
CBOE,"CBOE Global Markets Inc",118.98,1.05,+0.89%,119.89,118.36,511300,2022-07-15
CBRE,"CBRE Group Inc",77.96,3.07,+4.10%,78.08,75.58,1831400,2022-07-15
CCI,"Crown Castle International Corp",173.4,2.38,+1.39%,175.11,172.06,1558700,2022-07-15
CCL,"Carnival Corp",9.18,0.47,+5.40%,9.19,8.71,44346699,2022-07-15
CDAY,"Ceridian Hcm Holding Inc",49.75,1.49,+3.09%,49.87,48.19,1710800,2022-07-15
CDNS,"Cadence Design Sys",157,2.98,+1.93%,158.09,153.48,1386600,2022-07-15
CDW,"CDW Corp",161.51,2.74,+1.73%,161.69,159.59,511300,2022-07-15
CE,"Celanese Corp",108.74,2.01,+1.88%,110.01,107.47,925100,2022-07-15
CEG,"Constellation Energy Corp",55.66,-2.26,-3.90%,56.65,52.64,5186100,2022-07-15
CF,"Cf Industries Holdings",84.55,3.9,+4.84%,84.83,80.87,2430200,2022-07-15
CFG,"Citizens Financial Group Inc/Ri",36.8,1.87,+5.35%,36.99,35.33,4332500,2022-07-15
